timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,split,video,is_cheating
0-01-07.500000,1,1.0,0,0.47695144300424724,0,17.5,0.0,0.0,0.0,1.9944342791638139,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-25.900000,1,1.0,0,0.4430630315028852,0,7.5,0.0,0.0,0.0,8.821435014601056,4,0,0,1,0,0,1,0,0,0,101.51354589413178,10000.0,Train,Video1,1
0-00-04.300000,1,1.0,0,0.42848266066894963,1,204.0,0.0,0.0,0.0,6.395084478926917,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-35.600000,1,1.0,0,0.565685424949238,0,44.0,0.0,0.0,0.0,16.639632261437654,1,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-44.800000,1,1.0,0,0.4675591100791649,2,554.5,0.0,0.0,0.0,1.2023522061692238,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-42.950000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-25.450000,1,1.0,0,0.48379947373187815,0,104.5,0.0,0.0,0.0,8.074032656201602,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-47.550000,1,1.0,0,0.48141946977906175,2,531.0,0.0,0.0,0.0,8.448133880568845,4,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-51.900000,1,1.0,1,0.7101336492586042,1,187.5,0.0,0.0,0.0,31.092920355179274,1,2,0,0,0,0,1,0,0,0,89.10667763978185,10000.0,Train,Video1,1
0-01-04.500000,1,1.0,0,0.4967140936491477,0,97.0,0.0,0.0,0.0,0.597151318429593,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-25.600000,1,1.0,0,0.5317219882864379,0,65.0,0.0,0.0,0.0,14.241200843541778,1,1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-08.900000,1,1.0,0,0.5433867573157273,0,30.0,0.0,0.0,0.0,18.82387418160907,1,2,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-53.350000,1,1.0,1,0.7133605320810541,0,148.5,0.0,0.0,0.0,38.67812419513619,1,2,0,0,0,0,1,0,0,0,88.41379982785493,10000.0,Train,Video1,1
0-02-07.100000,1,2.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-15.100000,1,2.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
